按保密专利申请处理,an'bao'mi'zhuan'li'shen'qing'chu'li
动物和植物品种,dong'wu'he'zhi'wu'pin'zhong
动作过程,dong'zuo'guo'cheng
独创性,du'chuang'xing
独立权利要求,du'li'quan'li'yao'qiu
独权,du'quan
独任审查,du'ren'shen'cha
独占,du'zhan
独占权,du'zhan'quan
独占实施权,du'zhan'shi'shi'quan
独占实施许可,du'zhan'shi'shi'xu'ke
独占实施许可合同,du'zhan'shi'shi'xu'ke'he'tong
独占性,du'zhan'xing
独占专利实施许可,du'zhan'zhuan'li'shi'shi'xu'ke
独占专利实施许可合同,du'zhan'zhuan'li'shi'shi'xu'ke'he'tong
端点,duan'dian
端点数值,duan'dian'shu'zhi
端点值,duan'dian'zhi
断面图,duan'mian'tu
端面图,duan'mian'tu
短期专利,duan'qi'zhuan'li
对比方式,dui'bi'fang'shi
对比例,dui'bi'li
对比文件,dui'bi'wen'jian
对方当事人,dui'fang'dang'shi'ren
对审查意见通知书答复的补正通知书,dui'shen'cha'yi'jian'tong'zhi'shu'da'fu'de'bu'zheng'tong'zhi'shu
对现有技术的贡献,dui'xian'you'ji'shu'de'gong'xian
对现有技术作出贡献,dui'xian'you'ji'shu'zuo'chu'gong'xian
对照附图,dui'zhao'fu'tu
对质,dui'zhi
多边协议,duo'bian'xie'yi
多重分类,duo'chong'fen'lei
多缴,duo'jiao
多项,duo'xiang
多项从属权利要求,duo'xiang'cong'shu'quan'li'yao'qiu
多项引多项,duo'xiang'yin'duo'xiang
多项引用多项,duo'xiang'yin'yong'duo'xiang
多项优先权,duo'xiang'you'xian'quan
多余限定,duo'yu'xian'ding
多余指定,duo'yu'zhi'ding
多余指定原则,duo'yu'zhi'ding'yuan'ze
恶意放弃,e'yi'fang'qi
恶意放弃专利权,e'yi'fang'qi'zhuan'li'quan
恶意赔偿原则,e'yi'pei'chang'yuan'ze
二次结案,er'ci'jie'an
二次授权,er'ci'shou'quan
二级分类表,er'ji'fen'lei'biao
二类错误,er'lei'cuo'wu
二审,er'shen
二审判决,er'shen'pan'jue
二通,er'tong
二通表,er'tong'biao
二通表格,er'tong'biao'ge
二通率,er'tong'lv
二通正文,er'tong'zheng'wen
发表日,fa'biao'ri
发表日期,fa'biao'ri'qi
发表时间,fa'biao'shi'jian
发出类表格,fa'chu'lei'biao'ge
法定,fa'ding
法定不侵权,fa'ding'bu'qin'quan
法定程序,fa'ding'cheng'xu
法定代表人,fa'ding'dai'biao'ren
法定节假日,fa'ding'jie'jia'ri
法定期限,fa'ding'qi'xian
法定侵权行为,fa'ding'qin'quan'xing'wei
法定条件,fa'ding'tiao'jian
法定形式,fa'ding'xing'shi
法定要求,fa'ding'yao'qiu
发二通,fa'er'tong
法律程序,fa'lv'cheng'xu
法律地位,fa'lv'di'wei
法律概念,fa'lv'gai'nian
法律规定,fa'lv'gui'ding
法律后果,fa'lv'hou'guo
法律事实,fa'lv'shi'shi
法律适用,fa'lv'shi'yong
法律适用问题,fa'lv'shi'yong'wen'ti
法律条文,fa'lv'tiao'wen
法律推定,fa'lv'tui'ding
法律文件,fa'lv'wen'jian
法律文书,fa'lv'wen'shu
法律问题,fa'lv'wen'ti
法律效力,fa'lv'xiao'li
法律行为,fa'lv'xing'wei
法律依据,fa'lv'yi'ju
法律义务,fa'lv'yi'wu
法律责任,fa'lv'ze'ren
法律专家,fa'lv'zhuan'jia
法律状态,fa'lv'zhuang'tai
发明,fa'ming
发明本身,fa'ming'ben'shen
发明创造,fa'ming'chuang'zao
发明创造名称,fa'ming'chuang'zao'ming'cheng
发明点,fa'ming'dian
发明辅助审查系统,fa'ming'fu'zhu'shen'cha'xi'tong
发明构思,fa'ming'gou'si
发明或实用新型名称,fa'ming'huo'shi'yong'xin'xing'ming'cheng
发明或者实用新型,fa'ming'huo'zhe'shi'yong'xin'xing
发明或者实用新型本身,fa'ming'huo'zhe'shi'yong'xin'xing'ben'shen
发明或者实用新型内容,fa'ming'huo'zhe'shi'yong'xin'xing'nei'rong
发明客体,fa'ming'ke'ti
发明名称,fa'ming'ming'cheng
发明名称变更,fa'ming'ming'cheng'bian'geng
发明目的,fa'ming'mu'di
发明内容,fa'ming'nei'rong
发明人,fa'ming'ren
发明人变更,fa'ming'ren'bian'geng
发明人姓名,fa'ming'ren'xing'ming
发明人资格,fa'ming'ren'zi'ge
发明信息,fa'ming'xin'xi
发明者,fa'ming'zhe
发明专利,fa'ming'zhuan'li
发明专利登记印刷费,fa'ming'zhuan'li'deng'ji'yin'shua'fei
发明专利复审费,fa'ming'zhuan'li'fu'shen'fei
发明专利公报,fa'ming'zhuan'li'gong'bao
发明专利公报袋,fa'ming'zhuan'li'gong'bao'dai
发明专利年费,fa'ming'zhuan'li'nian'fei
发明专利年费滞纳金,fa'ming'zhuan'li'nian'fei'zhi'na'jin
发明专利强制许可请求费,fa'ming'zhuan'li'qiang'zhi'xu'ke'qing'qiu'fei
发明专利请求书,fa'ming'zhuan'li'qing'qiu'shu
发明专利权部分无效宣告的公告,fa'ming'zhuan'li'quan'bu'fen'wu'xiao'xuan'gao'de'gong'gao
发明专利申请,fa'ming'zhuan'li'shen'qing
发明专利申请初步审查合格通知书,fa'ming'zhuan'li'shen'qing'chu'bu'shen'cha'he'ge'tong'zhi'shu
发明专利申请费,fa'ming'zhuan'li'shen'qing'fei
发明专利申请公布,fa'ming'zhuan'li'shen'qing'gong'bu
发明专利申请公布及进入实质审查程序通知书,fa'ming'zhuan'li'shen'qing'gong'bu'ji'jin'ru'shi'zhi'shen'cha'cheng'xu'tong'zhi'shu
发明专利申请公布说明书,fa'ming'zhuan'li'shen'qing'gong'bu'shuo'ming'shu
发明专利申请公布通知书,fa'ming'zhuan'li'shen'qing'gong'bu'tong'zhi'shu
发明专利申请公开说明书,fa'ming'zhuan'li'shen'qing'gong'kai'shuo'ming'shu
发明专利申请进入实质审查程序通知书,fa'ming'zhuan'li'shen'qing'jin'ru'shi'zhi'shen'cha'cheng'xu'tong'zhi'shu
发明专利申请审查费,fa'ming'zhuan'li'shen'qing'shen'cha'fei
发明专利申请实质审查费,fa'ming'zhuan'li'shen'qing'shi'zhi'shen'cha'fei
发明专利申请维持费,fa'ming'zhuan'li'shen'qing'wei'chi'fei
发明专利授权公告,fa'ming'zhuan'li'shou'quan'gong'gao
发明专利授权公告通知书,fa'ming'zhuan'li'shou'quan'gong'gao'tong'zhi'shu
发明专利说明书,fa'ming'zhuan'li'shuo'ming'shu
发明专利无效宣告请求费,fa'ming'zhuan'li'wu'xiao'xuan'gao'qing'qiu'fei
法人,fa'ren
法人单位,fa'ren'dan'wei
发三通,fa'san'tong
发生日,fa'sheng'ri
发生之日,fa'sheng'zhi'ri
发四通,fa'si'tong
法条,fa'tiao
发文日,fa'wen'ri
发行范围,fa'xing'fan'wei
发行日,fa'xing'ri
发行日期,fa'xing'ri'qi
发行时间,fa'xing'shi'jian
发一通,fa'yi'tong
发中通,fa'zhong'tong
反驳证据,fan'bo'zheng'ju
范畴分类号,fan'chou'fen'lei'hao
反对意见,fan'dui'yi'jian
反竞争行为,fan'jing'zheng'xing'wei
反诉,fan'su
反诉专利权无效,fan'su'zhuan'li'quan'wu'xiao
反证,fan'zheng
方程式,fang'cheng'shi
放大图,fang'da'tu
方法步骤,fang'fa'bu'zhou
方法发明,fang'fa'fa'ming
方法权利要求,fang'fa'quan'li'yao'qiu
方法特征,fang'fa'te'zheng
方法限定,fang'fa'xian'ding
妨害公共利益,fang'hai'gong'gong'li'yi
方框图,fang'kuang'tu
放弃的限定方式,fang'qi'de'xian'ding'fang'shi
放弃声明,fang'qi'sheng'ming
放弃式限定,fang'qi'shi'xian'ding
放弃式修改,fang'qi'shi'xiu'gai
放弃专利,fang'qi'zhuan'li
放弃专利权,fang'qi'zhuan'li'quan
放弃专利权公告通知单,fang'qi'zhuan'li'quan'gong'gao'tong'zhi'dan
放弃专利权声明,fang'qi'zhuan'li'quan'sheng'ming
防御申请,fang'yu'shen'qing
仿制,fang'zhi
仿制专利产品,fang'zhi'zhuan'li'chan'pin
非保密性质,fei'bao'mi'xing'zhi
非必要,fei'bi'yao
非必要技术特征,fei'bi'yao'ji'shu'te'zheng
非标准格式,fei'biao'zhun'ge'shi
非常规技术手段,fei'chang'gui'ji'shu'shou'duan
非出版方式,fei'chu'ban'fang'shi
非出版方式公开,fei'chu'ban'fang'shi'gong'kai
非出版载体,fei'chu'ban'zai'ti
非出版载体公开,fei'chu'ban'zai'ti'gong'kai
非独占,fei'du'zhan
非独占性,fei'du'zhan'xing
非法人单位,fei'fa'ren'dan'wei
非故意行为,fei'gu'yi'xing'wei
非技术性,fei'ji'shu'xing
非技术原因,fei'ji'shu'yuan'yin
费减审批,fei'jian'shen'pi
非开创性,fei'kai'chuang'xing
非开创性技术领域,fei'kai'chuang'xing'ji'shu'ling'yu
非生产经营目的,fei'sheng'chan'jing'ying'mu'di
非书面公开,fei'shu'mian'gong'kai
非特定,fei'te'ding
非特定人,fei'te'ding'ren
非限定型权利要求,fei'xian'ding'xing'quan'li'yao'qiu
非显而易见,fei'xian'er'yi'jian
非显而易见性,fei'xian'er'yi'jian'xing
扉页再版,fei'ye'zai'ban
非一次授权,fei'yi'ci'shou'quan
费用裁决,fei'yong'cai'jue
费用核实单,fei'yong'he'shi'dan
费用减缓,fei'yong'jian'huan
费用减缓标记采集单,fei'yong'jian'huan'biao'ji'cai'ji'dan
费用减缓请求,fei'yong'jian'huan'qing'qiu
费用减缓请求书,fei'yong'jian'huan'qing'qiu'shu
费用减缓请求证明,fei'yong'jian'huan'qing'qiu'zheng'ming
费用减缓审批,fei'yong'jian'huan'shen'pi
费用减缓审批通知书,fei'yong'jian'huan'shen'pi'tong'zhi'shu
费用监视,fei'yong'jian'shi
费用信息,fei'yong'xin'xi
非择一引用,fei'ze'yi'yin'yong
非正式澄清,fei'zheng'shi'cheng'qing
废止,fei'zhi
非治疗目的,fei'zhi'liao'mu'di
非治疗目的的外科手术方法,fei'zhi'liao'mu'di'de'wai'ke'shou'shu'fang'fa
非职务发明,fei'zhi'wu'fa'ming
非职务发明创造,fei'zhi'wu'fa'ming'chuang'zao
非中间文件,fei'zhong'jian'wen'jian
非中间文件表格,fei'zhong'jian'wen'jian'biao'ge
非洲地区工业产权组织,fei'zhou'di'qu'gong'ye'chan'quan'zu'zhi
非洲知识产权组织,fei'zhou'zhi'shi'chan'quan'zu'zhi
非专利产品,fei'zhuan'li'chan'pin
非专利方法,fei'zhuan'li'fang'fa
非专利技术,fei'zhuan'li'ji'shu
非专利文件,fei'zhuan'li'wen'jian
非专利文献,fei'zhuan'li'wen'xian
非专利文献库,fei'zhuan'li'wen'xian'ku
非专利文献数据库,fei'zhuan'li'wen'xian'shu'ju'ku
非自愿许可,fei'zi'yuan'xu'ke
非自愿许可报酬,fei'zi'yuan'xu'ke'bao'chou
非自愿许可请求费,fei'zi'yuan'xu'ke'qing'qiu'fei
非自愿许可取得人,fei'zi'yuan'xu'ke'qu'de'ren
非自愿许可使用费,fei'zi'yuan'xu'ke'shi'yong'fei
非自愿许可使用费的裁决请求费,fei'zi'yuan'xu'ke'shi'yong'fei'de'cai'jue'qing'qiu'fei
分案,fen'an
分案超范围,fen'an'chao'fan'wei
分案号,fen'an'hao
分案申请,fen'an'shen'qing
分案申请超范围,fen'an'shen'qing'chao'fan'wei
分案通知书,fen'an'tong'zhi'shu
分案原申请数据,fen'an'yuan'shen'qing'shu'ju
分类,fen'lei
分类表,fen'lei'biao
分类补正通知书,fen'lei'bu'zheng'tong'zhi'shu
分类裁决,fen'lei'cai'jue
分类定义,fen'lei'ding'yi
分类法,fen'lei'fa
分类方法,fen'lei'fang'fa
分类号,fen'lei'hao
分类号变更,fen'lei'hao'bian'geng
分类命名,fen'lei'ming'ming
分类数据,fen'lei'shu'ju
分类位置,fen'lei'wei'zhi
分类位置规则,fen'lei'wei'zhi'gui'ze
分类文摘,fen'lei'wen'zhai
分类员,fen'lei'yuan
分类助理,fen'lei'zhu'li
封闭式,feng'bi'shi
封闭式权利要求,feng'bi'shi'quan'li'yao'qiu
否定的限定方式,fou'ding'de'xian'ding'fang'shi
否定式,fou'ding'shi
否定式权利要求,fou'ding'shi'quan'li'yao'qiu
否定式限定,fou'ding'shi'xian'ding
否定式用语,fou'ding'shi'yong'yu
否定限定,fou'ding'xian'ding
副本,fu'ben
副本复制费,fu'ben'fu'zhi'fei
副部,fu'bu
副部级,fu'bu'ji
副部级审查研究员,fu'bu'ji'shen'cha'yan'jiu'yuan
副部级审查员,fu'bu'ji'shen'cha'yuan
副部审,fu'bu'shen
副部长,fu'bu'zhang
复查,fu'cha
复查决定,fu'cha'jue'ding
副处,fu'chu
副处级,fu'chu'ji
副处级审查副研究员,fu'chu'ji'shen'cha'fu'yan'jiu'yuan
副处级审查员,fu'chu'ji'shen'cha'yuan
副处审,fu'chu'shen
副处长,fu'chu'zhang
复核,fu'he
复核意见,fu'he'yi'jian
附加初步审查费,fu'jia'chu'bu'shen'cha'fei
附加初审费,fu'jia'chu'shen'fei
附加费,fu'jia'fei
附加技术特征,fu'jia'ji'shu'te'zheng
附加检索费,fu'jia'jian'suo'fei
附加旁证,fu'jia'pang'zheng
附加信息,fu'jia'xin'xi
附加证据,fu'jia'zheng'ju
附件清单,fu'jian'qing'dan
附具,fu'ju
副科,fu'ke
副科级,fu'ke'ji
副科级审查员,fu'ke'ji'shen'cha'yuan
副科级审查助理研究员,fu'ke'ji'shen'cha'zhu'li'yan'jiu'yuan
副科审,fu'ke'shen
复审,fu'shen
复审案件,fu'shen'an'jian
复审案件结案通知书,fu'shen'an'jian'jie'an'tong'zhi'shu
复审程序,fu'shen'cheng'xu
复审程序文件收发文目录,fu'shen'cheng'xu'wen'jian'shou'fa'wen'mu'lu
复审程序终止,fu'shen'cheng'xu'zhong'zhi
复审费,fu'shen'fei
复审合议组,fu'shen'he'yi'zu
复审结案通知书,fu'shen'jie'an'tong'zhi'shu
复审决定,fu'shen'jue'ding
复审决定书,fu'shen'jue'ding'shu
复审请求,fu'shen'qing'qiu
复审请求案件,fu'shen'qing'qiu'an'jian
复审请求不予受理,fu'shen'qing'qiu'bu'yu'shou'li
复审请求不予受理通知书,fu'shen'qing'qiu'bu'yu'shou'li'tong'zhi'shu
复审请求补正通知书,fu'shen'qing'qiu'bu'zheng'tong'zhi'shu
复审请求第二次补正通知书,fu'shen'qing'qiu'di'er'ci'bu'zheng'tong'zhi'shu
复审请求费,fu'shen'qing'qiu'fei
复审请求客体,fu'shen'qing'qiu'ke'ti
复审请求口头审理,fu'shen'qing'qiu'kou'tou'shen'li
复审请求口头审理通知书,fu'shen'qing'qiu'kou'tou'shen'li'tong'zhi'shu
复审请求期限,fu'shen'qing'qiu'qi'xian
复审请求人,fu'shen'qing'qiu'ren
复审请求审查,fu'shen'qing'qiu'shen'cha
复审请求审查决定,fu'shen'qing'qiu'shen'cha'jue'ding
复审请求视为未提出,fu'shen'qing'qiu'shi'wei'wei'ti'chu
复审请求视为未提出通知书,fu'shen'qing'qiu'shi'wei'wei'ti'chu'tong'zhi'shu
复审请求受理通知书,fu'shen'qing'qiu'shou'li'tong'zhi'shu
复审请求书,fu'shen'qing'qiu'shu
复审请求中止审批通知书,fu'shen'qing'qiu'zhong'zhi'shen'pi'tong'zhi'shu
复审通知书,fu'shen'tong'zhi'shu
复审委,fu'shen'wei
复审委员,fu'shen'wei'yuan
复审委员会,fu'shen'wei'yuan'hui
复审无效程序,fu'shen'wu'xiao'cheng'xu
复审员,fu'shen'yuan
俯视图,fu'shi'tu
附属专利,fu'shu'zhuan'li
附送,fu'song
附图编号,fu'tu'bian'hao
附图标记,fu'tu'biao'ji
附图副本,fu'tu'fu'ben
附图号,fu'tu'hao
附图数,fu'tu'shu
附图说明,fu'tu'shuo'ming
附页,fu'ye
复议,fu'yi
复议案件,fu'yi'an'jian
复议案件补正通知书,fu'yi'an'jian'bu'zheng'tong'zhi'shu
复议案件受理通知书,fu'yi'an'jian'shou'li'tong'zhi'shu
复议案件终止通知书,fu'yi'an'jian'zhong'zhi'tong'zhi'shu
复议程序,fu'yi'cheng'xu
复议程序终止,fu'yi'cheng'xu'zhong'zhi
复议决定,fu'yi'jue'ding
复议决定书,fu'yi'jue'ding'shu
复议决定延期通知书,fu'yi'jue'ding'yan'qi'tong'zhi'shu
复议申请,fu'yi'shen'qing
复议申请人,fu'yi'shen'qing'ren
复议申请视为未提出,fu'yi'shen'qing'shi'wei'wei'ti'chu
复议申请视为未提出通知书,fu'yi'shen'qing'shi'wei'wei'ti'chu'tong'zhi'shu
复议申请书,fu'yi'shen'qing'shu
复议制度,fu'yi'zhi'du
复印件,fu'yin'jian
富有美感,fu'you'mei'gan
富有美感并适于工业应用,fu'you'mei'gan'bing'shi'yu'gong'ye'ying'yong
复制件,fu'zhi'jian
复制品,fu'zhi'pin
附注,fu'zhu
副主科,fu'zhu'ke
副主任科员,fu'zhu'ren'ke'yuan
副主任委员,fu'zhu'ren'wei'yuan
辅助性审查基准,fu'zhu'xing'shen'cha'ji'zhun
该案,gai'an
改变原决定,gai'bian'yuan'jue'ding
该驳回决定,gai'bo'hui'jue'ding
该从属权利要求,gai'cong'shu'quan'li'yao'qiu
该独立权利要求,gai'du'li'quan'li'yao'qiu
该发明,gai'fa'ming
该决定,gai'jue'ding
该权利要求,gai'quan'li'yao'qiu
该申请,gai'shen'qing
该实用新型,gai'shi'yong'xin'xing
该通知书,gai'tong'zhi'shu
该外观设计,gai'wai'guan'she'ji
改正国际单位错误,gai'zheng'guo'ji'dan'wei'cuo'wu
改正请求,gai'zheng'qing'qiu
改正形式缺陷通知书,gai'zheng'xing'shi'que'xian'tong'zhi'shu
改正修改文件译文缺陷通知书,gai'zheng'xiu'gai'wen'jian'yi'wen'que'xian'tong'zhi'shu
改正译文错误,gai'zheng'yi'wen'cuo'wu
改正译文错误请求书,gai'zheng'yi'wen'cuo'wu'qing'qiu'shu
改正译文错误手续费,gai'zheng'yi'wen'cuo'wu'shou'xu'fei
改正译文错误通知书,gai'zheng'yi'wen'cuo'wu'tong'zhi'shu
改正优先权要求请求费,gai'zheng'you'xian'quan'yao'qiu'qing'qiu'fei
改正优先权要求请求书,gai'zheng'you'xian'quan'yao'qiu'qing'qiu'shu
改正优先权要求缺陷通知书,gai'zheng'you'xian'quan'yao'qiu'que'xian'tong'zhi'shu
改正优先权要求手续费,gai'zheng'you'xian'quan'yao'qiu'shou'xu'fei
该专利,gai'zhuan'li
该专利产品,gai'zhuan'li'chan'pin
该专利方法,gai'zhuan'li'fang'fa
该专利申请,gai'zhuan'li'shen'qing
高级版,gao'ji'ban
高卢麟,gao'lu'lin
格式审查,ge'shi'shen'cha
给天才之火增添利益之油,gei'tian'cai'zhi'huo'zeng'tian'li'yi'zhi'you
根据权利要求,gen'ju'quan'li'yao'qiu
庚坊,geng'fang
庚坊大厦,geng'fang'da'sha
庚坊国际,geng'fang'guo'ji
庚坊国际大厦,geng'fang'guo'ji'da'sha
更正,geng'zheng
更正版次,geng'zheng'ban'ci
更正报批单,geng'zheng'bao'pi'dan
更正处分,geng'zheng'chu'fen
更正处分通知书,geng'zheng'chu'fen'tong'zhi'shu
更正错误请求书,geng'zheng'cuo'wu'qing'qiu'shu
更正范畴,geng'zheng'fan'chou
更正请求,geng'zheng'qing'qiu
更正文献出版日,geng'zheng'wen'xian'chu'ban'ri
更正页,geng'zheng'ye
更正页码,geng'zheng'ye'ma
公报袋,gong'bao'dai
公布或公告数据,gong'bu'huo'gong'gao'shu'ju
公布或公告专利文献的国家或机构名称,gong'bu'huo'gong'gao'zhuan'li'wen'xian'de'guo'jia'huo'ji'gou'ming'cheng
公布级,gong'bu'ji
公布日,gong'bu'ri
公布说明书,gong'bu'shuo'ming'shu
公布通知书,gong'bu'tong'zhi'shu
公布印刷费,gong'bu'yin'shua'fei
公布语言,gong'bu'yu'yan
公告办理向外国人转让专利申请权或者专利权的审批和登记事宜,gong'gao'ban'li'xiang'wai'guo'ren'zhuan'rang'zhuan'li'shen'qing'quan'huo'zhe'zhuan'li'quan'de'shen'pi'he'deng'ji'shi'yi
公告方式,gong'gao'fang'shi
公告号,gong'gao'hao
公告日,gong'gao'ri
公告日期,gong'gao'ri'qi
公告授予专利权,gong'gao'shou'yu'zhuan'li'quan
公告授予专利之日,gong'gao'shou'yu'zhuan'li'zhi'ri
公告说明书,gong'gao'shuo'ming'shu
公告通知单,gong'gao'tong'zhi'dan
公告印刷费,gong'gao'yin'shua'fei
公告之日,gong'gao'zhi'ri
公告专利文献的国家或机构名称,gong'gao'zhuan'li'wen'xian'de'guo'jia'huo'ji'gou'ming'cheng
公共利益,gong'gong'li'yi
工具书,gong'ju'shu
公开不充分,gong'kai'bu'chong'fen
公开出版,gong'kai'chu'ban
公开出版物,gong'kai'chu'ban'wu
公开的范围,gong'kai'de'fan'wei
公开发表,gong'kai'fa'biao
公开发行,gong'kai'fa'xing
公开方式,gong'kai'fang'shi
公开号,gong'kai'hao
公开内容,gong'kai'nei'rong
公开日,gong'kai'ri
公开日期,gong'kai'ri'qi
公开时间,gong'kai'shi'jian
公开使用,gong'kai'shi'yong
公开使用行为,gong'kai'shi'yong'xing'wei
公开说明书,gong'kai'shuo'ming'shu
公开销售,gong'kai'xiao'shou
公开销售行为,gong'kai'xiao'shou'xing'wei
公开性,gong'kai'xing
公开形式,gong'kai'xing'shi
公开行为,gong'kai'xing'wei
公开原则,gong'kai'yuan'ze
公开在后,gong'kai'zai'hou
公开展出,gong'kai'zhan'chu
公开展出之日,gong'kai'zhan'chu'zhi'ri
公开状态,gong'kai'zhuang'tai
功能分类,gong'neng'fen'lei
功能特征,gong'neng'te'zheng
功能限定,gong'neng'xian'ding
功能性特征,gong'neng'xing'te'zheng
功能性限定,gong'neng'xing'xian'ding
公平原则,gong'ping'yuan'ze
公认的常规设计,gong'ren'de'chang'gui'she'ji
共同参加的国际条约,gong'tong'can'jia'de'guo'ji'tiao'yue
共同发明人,gong'tong'fa'ming'ren
共同共有,gong'tong'gong'you
共同设计人,gong'tong'she'ji'ren
共同申请权,gong'tong'shen'qing'quan
共同申请人,gong'tong'shen'qing'ren
共同完成,gong'tong'wan'cheng
共同完成方,gong'tong'wan'cheng'fang
共同未决,gong'tong'wei'jue
共同未决国际申请,gong'tong'wei'jue'guo'ji'shen'qing
共同未决申请,gong'tong'wei'jue'shen'qing
共同专利权人,gong'tong'zhuan'li'quan'ren
公文书证,gong'wen'shu'zheng
工业产品,gong'ye'chan'pin
工业产权,gong'ye'chan'quan
工业品外观设计,gong'ye'pin'wai'guan'she'ji
工业品外观设计国际分类,gong'ye'pin'wai'guan'she'ji'guo'ji'fen'lei
工业实用性,gong'ye'shi'yong'xing
工业实用性要求,gong'ye'shi'yong'xing'yao'qiu
工艺参数,gong'yi'can'shu
工艺过程,gong'yi'guo'cheng
工艺条件,gong'yi'tiao'jian
共有,gong'you
共有权利,gong'you'quan'li
共有人,gong'you'ren
共有申请权,gong'you'shen'qing'quan
共有原则,gong'you'yuan'ze
共有专利权,gong'you'zhuan'li'quan
公证,gong'zheng
公证单位,gong'zheng'dan'wei
公证机关,gong'zheng'ji'guan
公证书,gong'zheng'shu
公证文书,gong'zheng'wen'shu
公正原则,gong'zheng'yuan'ze
公证证明,gong'zheng'zheng'ming
公正执法原则,gong'zheng'zhi'fa'yuan'ze
公知,gong'zhi
公知参数,gong'zhi'can'shu
公知常识,gong'zhi'chang'shi
公知技术,gong'zhi'ji'shu
公众,gong'zhong
公众可获得日,gong'zhong'ke'huo'de'ri
公众可获得性,gong'zhong'ke'huo'de'xing
公众利益,gong'zhong'li'yi
公众想得知就可以得知,gong'zhong'xiang'de'zhi'jiu'ke'yi'de'zhi
公众想得知就可以得知的状态,gong'zhong'xiang'de'zhi'jiu'ke'yi'de'zhi'de'zhuang'tai
公众意见,gong'zhong'yi'jian
工作量,gong'zuo'liang
工作日,gong'zuo'ri
构成侵犯专利权,gou'cheng'qin'fan'zhuan'li'quan
构成侵权,gou'cheng'qin'quan
构成要件,gou'cheng'yao'jian
构造特征,gou'zao'te'zheng
固定日期,gu'ding'ri'qi
固定形状,gu'ding'xing'zhuang
故意侵权,gu'yi'qin'quan
管理专利工作,guan'li'zhuan'li'gong'zuo
管理专利工作的部门,guan'li'zhuan'li'gong'zuo'de'bu'men
关联性,guan'lian'xing
关贸总协定,guan'mao'zong'xie'ding
关贸总协定知识产权协议,guan'mao'zong'xie'ding'zhi'shi'chan'quan'xie'yi
关系特征,guan'xi'te'zheng
管辖权,guan'xia'quan
惯用技术手段,guan'yong'ji'shu'shou'duan
惯用手段,guan'yong'shou'duan
惯用手段的直接置换,guan'yong'shou'duan'de'zhi'jie'zhi'huan
关于传真的通知,guan'yu'chuan'zhen'de'tong'zhi
关于电子专利申请的规定,guan'yu'dian'zi'zhuan'li'shen'qing'de'gui'ding
关于对海峡两岸专利交流活动管理的意见,guan'yu'dui'hai'xia'liang'an'zhuan'li'jiao'liu'huo'dong'guan'li'de'yi'jian
关于港澳地区专利申请若干问题的规定,guan'yu'gang'ao'di'qu'zhuan'li'shen'qing'ruo'gan'wen'ti'de'gui'ding
关于更正请求的决定的通知书,guan'yu'geng'zheng'qing'qiu'de'jue'ding'de'tong'zhi'shu
关于国际申请中不得使用的表达等的通知书,guan'yu'guo'ji'shen'qing'zhong'bu'de'shi'yong'de'biao'da'deng'de'tong'zhi'shu
关于和申请人的非正式联系通知书,guan'yu'he'shen'qing'ren'de'fei'zheng'shi'lian'xi'tong'zhi'shu
关于回避请求的处理决定,guan'yu'hui'bi'qing'qiu'de'chu'li'jue'ding
关于进行专利代理机构年检工作的通知,guan'yu'jin'xing'zhuan'li'dai'li'ji'gou'nian'jian'gong'zuo'de'tong'zhi
关于生物材料样品保藏的补正通知书,guan'yu'sheng'wu'cai'liao'yang'pin'bao'cang'de'bu'zheng'tong'zhi'shu
关于实施专利权海关保护若干问题的规定,guan'yu'shi'shi'zhuan'li'quan'hai'guan'bao'hu'ruo'gan'wen'ti'de'gui'ding
关于受理台胞国际申请的通知,guan'yu'shou'li'tai'bao'guo'ji'shen'qing'de'tong'zhi
关于受理台胞专利申请的规定,guan'yu'shou'li'tai'bao'zhuan'li'shen'qing'de'gui'ding
关于说明书主要部分中自由内容的通知书,guan'yu'shuo'ming'shu'zhu'yao'bu'fen'zhong'zi'you'nei'rong'de'tong'zhi'shu
关于台胞申请专利手续中若干问题的处理办法,guan'yu'tai'bao'shen'qing'zhuan'li'shou'xu'zhong'ruo'gan'wen'ti'de'chu'li'ban'fa
关于我国学者在国外完成的发明创造申请专利的规定,guan'yu'wo'guo'xue'zhe'zai'guo'wai'wan'cheng'de'fa'ming'chuang'zao'shen'qing'zhuan'li'de'gui'ding
关于香港回归后中国内地和香港专利申请若干问题的说明,guan'yu'xiang'gang'hui'gui'hou'zhong'guo'nei'di'he'xiang'gang'zhuan'li'shen'qing'ruo'gan'wen'ti'de'shuo'ming
关于向申请人出具优先权证明的办法,guan'yu'xiang'shen'qing'ren'chu'ju'you'xian'quan'zheng'ming'de'ban'fa
关于协助执行的通知,guan'yu'xie'zhu'zhi'xing'de'tong'zhi
关于修改不予考虑的通知书,guan'yu'xiu'gai'bu'yu'kao'lv'de'tong'zhi'shu
关于修改国际检索单位在先制定的摘要的通知书,guan'yu'xiu'gai'guo'ji'jian'suo'dan'wei'zai'xian'zhi'ding'de'zhai'yao'de'tong'zhi'shu
关于延长期限的通知书,guan'yu'yan'chang'qi'xian'de'tong'zhi'shu
关于样品处理的通知,guan'yu'yang'pin'chu'li'de'tong'zhi
